GoldenEye (1995),1-Jan-95
Get Shorty (1995),1-Jan-95
From Dusk Till Dawn (1996),5-Feb-96
Muppet Treasure Island (1996),16-Feb-96
Braveheart (1995),16-Feb-96
Rumble in the Bronx (1995),23-Feb-96
Bad Boys (1995),1-Jan-95
Apollo 13 (1995),1-Jan-95
Batman Forever (1995),1-Jan-95
Desperado (1995),1-Jan-95
Strange Days (1995),1-Jan-95
Star Wars (1977),1-Jan-77
Natural Born Killers (1994),1-Jan-94
Outbreak (1995),1-Jan-95
Stargate (1994),1-Jan-94
"Crow, The (1994)",1-Jan-94
Maverick (1994),1-Jan-94
Faster Pussycat! Kill! Kill! (1965),1-Jan-65
"Fugitive, The (1993)",1-Jan-93
Hot Shots! Part Deux (1993),1-Jan-93
Jurassic Park (1993),1-Jan-93
True Romance (1993),1-Jan-93
Terminator 2: Judgment Day (1991),1-Jan-91
Heavy Metal (1981),8-Mar-81
Operation Dumbo Drop (1995),1-Jan-95
"Rock, The (1996)",7-Jun-96
Twister (1996),10-May-96
Independence Day (ID4) (1996),3-Jul-96
"Godfather, The (1972)",1-Jan-72
Supercop (1992),26-Jul-96
Die Hard (1988),1-Jan-88
"Lawnmower Man, The (1992)",1-Jan-92
"Long Kiss Goodnight, The (1996)",5-Oct-96
"Ghost and the Darkness, The (1996)",11-Oct-96
Top Gun (1986),1-Jan-86
"Abyss, The (1989)",1-Jan-89
"Empire Strikes Back, The (1980)",1-Jan-80
"Princess Bride, The (1987)",1-Jan-87
Raiders of the Lost Ark (1981),1-Jan-81
Aliens (1986),1-Jan-86
"Good, The Bad and The Ugly, The (1966)",1-Jan-66
Return of the Jedi (1983),14-Mar-97
Alien (1979),1-Jan-79
Army of Darkness (1993),1-Jan-93
"Blues Brothers, The (1980)",1-Jan-80
"Godfather: Part II, The (1974)",1-Jan-74
Full Metal Jacket (1987),1-Jan-87
"Terminator, The (1984)",1-Jan-84
Evil Dead II (1987),1-Jan-87
Cyrano de Bergerac (1990),1-Jan-90
Indiana Jones and the Last Crusade (1989),1-Jan-89
Star Trek: First Contact (1996),22-Nov-96
Die Hard 2 (1990),1-Jan-90
Star Trek VI: The Undiscovered Country (1991),1-Jan-91
Star Trek: The Wrath of Khan (1982),1-Jan-82
Star Trek III: The Search for Spock (1984),1-Jan-84
Star Trek IV: The Voyage Home (1986),1-Jan-86
Batman Returns (1992),1-Jan-92
Young Guns (1988),1-Jan-88
Under Siege (1992),1-Jan-92
Jaws (1975),1-Jan-75
Mars Attacks! (1996),13-Dec-96
"Last of the Mohicans, The (1992)",1-Jan-92
Smilla's Sense of Snow (1997),14-Mar-97
"Devil's Own, The (1997)",26-Mar-97
Turbo: A Power Rangers Movie (1997),28-Mar-97
"Fifth Element, The (1997)",9-May-97
"Lost World: Jurassic Park, The (1997)",23-May-97
Batman & Robin (1997),20-Jun-97
Men in Black (1997),4-Jul-97
Event Horizon (1997),1-Jan-97
Steel (1997),15-Aug-97
"Hunt for Red October, The (1990)",1-Jan-90
Kull the Conqueror (1997),29-Aug-97
Starship Troopers (1997),1-Jan-97
Heat (1995),1-Jan-95
"River Wild, The (1994)",1-Jan-94
Breakdown (1997),2-May-97
Face/Off (1997),27-Jun-97
Air Force One (1997),1-Jan-97
Titanic (1997),1-Jan-97
3 Ninjas: High Noon At Mega Mountain (1998),1-Jan-97
Dante's Peak (1997),7-Feb-97
G.I. Jane (1997),1-Jan-97
Conspiracy Theory (1997),8-Aug-97
U Turn (1997),1-Jan-97
Mad City (1997),1-Jan-97
Alien: Resurrection (1997),1-Jan-97
Hard Rain (1998),16-Jan-98
Fallen (1998),16-Jan-98
Deep Rising (1998),30-Jan-98
Spawn (1997),1-Aug-97
Blues Brothers 2000 (1998),6-Feb-98
Sudden Death (1995),1-Jan-95
Judge Dredd (1995),1-Jan-95
Mighty Morphin Power Rangers: The Movie (1995),1-Jan-95
Star Trek: Generations (1994),1-Jan-94
True Lies (1994),1-Jan-94
Beverly Hills Cop III (1994),1-Jan-94
Last Action Hero (1993),1-Jan-93
Striking Distance (1993),1-Jan-93
Super Mario Bros. (1993),1-Jan-93
"Three Musketeers, The (1993)",1-Jan-93
Batman (1989),1-Jan-89
Mission: Impossible (1996),22-May-96
"Transformers: The Movie, The (1986)",1-Jan-86
Highlander (1986),1-Jan-86
Butch Cassidy and the Sundance Kid (1969),1-Jan-69
Star Trek: The Motion Picture (1979),1-Jan-79
Star Trek V: The Final Frontier (1989),1-Jan-89
Jaws 2 (1978),1-Jan-78
Jaws 3-D (1983),1-Jan-83
Jackie Chan's First Strike (1996),10-Jan-97
Beverly Hills Ninja (1997),17-Jan-97
Dragonheart (1996),31-May-96
"Adventures of Robin Hood, The (1938)",1-Jan-38
"African Queen, The (1951)",1-Jan-51
"Magnificent Seven, The (1954)",1-Jan-54
"Boot, Das (1981)",4-Apr-97
Ben-Hur (1959),1-Jan-59
Money Train (1995),1-Jan-95
Mortal Kombat (1995),1-Jan-95
Broken Arrow (1996),9-Feb-96
Die Hard: With a Vengeance (1995),1-Jan-95
Waterworld (1995),1-Jan-95
"Quick and the Dead, The (1995)",1-Jan-95
Clear and Present Danger (1994),1-Jan-94
Speed (1994),1-Jan-94
Blown Away (1994),1-Jan-94
Cliffhanger (1993),1-Jan-93
Demolition Man (1993),1-Jan-93
Terminal Velocity (1994),1-Jan-94
Hellraiser: Bloodline (1996),8-Mar-96
Eraser (1996),21-Jun-96
Police Story 4: Project S (Chao ji ji hua) (1993),16-Aug-96
"Crying Game, The (1992)",1-Jan-92
Escape from New York (1981),1-Jan-81
Glory (1989),1-Jan-89
Alien 3 (1992),1-Jan-92
Blood Beach (1981),1-Jan-81
Conan the Barbarian (1981),1-Jan-81
Kull the Conqueror (1997),29-Aug-97
In the Line of Fire (1993),1-Jan-93
Executive Decision (1996),9-Mar-96
"Perfect World, A (1993)",1-Jan-93
"Jackal, The (1997)",1-Jan-97
First Knight (1995),1-Jan-95
"Crow: City of Angels, The (1996)",30-Aug-96
"Saint, The (1997)",14-Mar-97
Tomorrow Never Dies (1997),1-Jan-97
"Replacement Killers, The (1998)",6-Feb-98
Jumanji (1995),1-Jan-95
Fair Game (1995),1-Jan-95
Nick of Time (1995),1-Jan-95
Congo (1995),1-Jan-95
Johnny Mnemonic (1995),1-Jan-95
Drop Zone (1994),1-Jan-94
Timecop (1994),1-Jan-94
Bad Company (1995),1-Jan-95
Hard Target (1993),1-Jan-93
Heaven & Earth (1993),1-Jan-93
Menace II Society (1993),1-Jan-93
"Program, The (1993)",1-Jan-93
Rising Sun (1993),1-Jan-93
"Shadow, The (1994)",1-Jan-94
"Arrival, The (1996)",31-May-96
Daylight (1996),6-Dec-96
Fled (1996),19-Jul-96
Power 98 (1995),17-May-96
Escape from L.A. (1996),9-Aug-96
Bulletproof (1996),6-Sep-96
In the Line of Duty 2 (1987),30-Aug-96
Last Man Standing (1996),20-Sep-96
"Glimmer Man, The (1996)",4-Oct-96
Days of Thunder (1990),1-Jan-90
Diva (1981),1-Jan-81
Money Talks (1997),22-Aug-97
"Peacemaker, The (1997)",1-Jan-97
Money Talks (1997),22-Aug-97
Mortal Kombat: Annihilation (1997),1-Jan-97
Time Tracers (1995),1-Jan-95
U.S. Marshalls (1998),10-Mar-98
Lost in Space (1998),27-Mar-98
Mercury Rising (1998),27-Mar-98
Chain Reaction (1996),31-Jul-96
Solo (1996),23-Aug-96
"Substitute, The (1996)",19-Apr-96
Maximum Risk (1996),13-Sep-96
Anaconda (1997),11-Apr-97
Con Air (1997),6-Jun-97
"Die xue shuang xiong (Killer, The) (1989)",1-Jan-89
Fire Down Below (1997),1-Jan-97
"Shooter, The (1995)",1-Jan-95
"Quest, The (1996)",26-Apr-96
"Pagemaster, The (1994)",1-Jan-94
Bloodsport 2 (1995),1-Mar-96
Double Team (1997),4-Apr-97
Speed 2: Cruise Control (1997),13-Jun-97
Firestorm (1998),9-Jan-98
Tank Girl (1995),1-Jan-95
Best Men (1997),1-Sep-97
Hackers (1995),1-Jan-95
Palookaville (1996),25-Oct-96
I Love Trouble (1994),1-Jan-94
"Low Down Dirty Shame, A (1994)",1-Jan-94
"Cowboy Way, The (1994)",1-Jan-94
Young Guns II (1990),1-Jan-90
Barb Wire (1996),3-May-96
Judgment Night (1993),1-Jan-93
Under Siege 2: Dark Territory (1995),1-Jan-95
Marked for Death (1990),1-Jan-90
Cutthroat Island (1995),1-Jan-95
Metro (1997),17-Jan-97
Best of the Best 3: No Turning Back (1995),1-Jan-95
Set It Off (1996),25-Sep-96
"Getaway, The (1994)",1-Jan-94
New York Cop (1996),1-Jan-96
Surviving the Game (1994),1-Jan-94
The Deadly Cure (1996),16-Sep-96
American Strays (1996),13-Sep-96
Bird of Prey (1996),4-Oct-96
Johnny 100 Pesos (1993),1-Jan-93
"Stranger, The (1994)",1-Jan-94
Stag (1997),1-Jan-97
"Specialist, The (1994)",1-Jan-94
Street Fighter (1994),1-Jan-94
Coldblooded (1995),1-Jan-95
"Next Karate Kid, The (1994)",1-Jan-94
No Escape (1994),1-Jan-94
Highlander III: The Sorcerer (1994),1-Jan-94
Men of Means (1998),1-Jan-97
Dead Presidents (1995),1-Jan-95
"Man in the Iron Mask, The (1998)",17-Mar-98
"Jerky Boys, The (1994)",1-Jan-94
Tough and Deadly (1995),1-Jan-95
"Good Man in Africa, A (1994)",1-Jan-94
The Courtyard (1995),1-Jan-95
"Hunted, The (1995)",1-Jan-95
Condition Red (1995),1-Jan-95
Hostile Intentions (1994),1-Jan-94
Lashou shentan (1992),1-Jan-92
Shopping (1994),9-Feb-96
Nemesis 2: Nebula (1995),1-Jan-95
Romper Stomper (1992),1-Jan-92
"Truth or Consequences, N.M. (1997)",2-May-97
Tokyo Fist (1995),11-Feb-98
Warriors of Virtue (1997),2-May-97
King of New York (1990),1-Jan-90
Men With Guns (1997),6-Mar-98
Target (1995),28-Feb-96
Mirage (1995),1-Jan-95
